Store,14/06/2021,15/06/2021,16/06/2021,17/06/2021,18/06/2021,21/06/2021,22/06/2021,23/06/2021,24/06/2021,25/06/2021,28/06/2021,29/06/2021,30/06/2021,1/07/2021,2/07/2021,5/07/2021,6/07/2021,7/07/2021,8/07/2021,9/07/2021
Countdown Airport,5,6,10,11,7,7,8,5,8,3,6,10,5,6,7,8,6,8,9,7
Countdown Auckland City,6,8,5,8,8,8,8,13,11,8,6,8,9,10,6,11,7,7,9,5
Countdown Aviemore Drive,9,9,8,7,14,6,10,6,5,6,8,8,10,3,10,7,9,4,6,9
Countdown Birkenhead,9,4,8,10,7,5,6,12,10,11,7,5,10,10,7,9,9,5,4,12
Countdown Blockhouse Bay,6,8,7,6,6,9,4,8,10,9,6,7,9,9,7,8,8,4,10,3
Countdown Botany Downs,9,11,7,11,9,8,8,10,9,8,7,7,8,8,6,11,6,8,9,4
Countdown Browns Bay,14,11,6,8,14,6,5,10,9,6,10,3,5,7,12,9,5,7,7,9
Countdown Glenfield,8,4,8,3,4,10,6,7,8,7,6,8,10,5,5,9,9,11,7,6
Countdown Greenlane,10,10,13,7,9,5,12,8,9,11,8,12,6,5,10,8,6,10,3,5
Countdown Grey Lynn,11,9,9,7,5,7,7,10,4,12,8,9,13,11,8,11,6,11,3,11
Countdown Grey Lynn Central,8,11,3,6,12,6,5,13,10,9,5,11,6,11,6,10,7,11,9,7
Countdown Hauraki Corner,7,5,8,6,6,9,13,9,4,9,5,6,9,6,10,10,8,6,7,3
Countdown Henderson,11,9,5,6,10,8,5,8,4,8,12,8,6,8,8,5,6,8,11,12
Countdown Highland Park,5,8,9,8,7,10,5,7,7,12,10,6,7,12,8,4,12,4,7,5
Countdown Hobsonville,11,8,8,4,10,9,9,7,9,7,9,11,8,12,8,8,11,8,10,5
Countdown Howick,9,10,8,11,13,9,15,12,8,6,6,8,5,8,10,9,6,9,8,9
Countdown Kelston,7,9,11,8,10,5,13,6,12,9,5,7,6,7,6,7,9,7,15,4
Countdown Lincoln Road,9,9,10,7,4,6,11,6,9,10,5,9,9,7,12,9,9,7,6,14
Countdown Lynfield,12,11,7,9,6,11,6,4,9,8,7,6,12,7,9,6,10,8,7,8
Countdown Lynmall,7,7,7,5,5,6,8,5,9,9,7,9,8,4,8,6,7,7,6,9
Countdown Mairangi Bay,7,7,4,11,8,7,9,9,15,10,9,7,8,10,9,9,7,9,9,10
Countdown Mangere East,9,9,7,9,6,6,6,9,10,8,12,6,7,7,10,9,5,6,10,8
Countdown Mangere Mall,9,4,4,7,13,9,7,10,9,5,3,4,9,7,7,7,7,9,7,6
Countdown Manukau,8,9,5,8,5,5,9,9,3,10,7,8,10,10,8,5,11,8,5,8
Countdown Manukau Mall,8,10,8,4,8,8,11,10,8,8,11,12,12,6,9,5,7,6,6,10
Countdown Manurewa,6,8,7,8,11,8,5,7,11,12,8,9,5,8,8,9,8,10,7,6
Countdown Meadowbank,11,4,8,12,7,7,7,8,7,9,11,5,6,8,10,11,6,10,4,9
Countdown Meadowlands,6,9,12,6,11,10,10,9,8,6,8,10,5,11,7,9,8,5,5,8
Countdown Milford,9,5,12,6,9,5,9,10,6,6,11,4,10,5,11,7,12,11,10,7
Countdown Mt Eden,9,6,10,5,6,10,11,10,4,11,3,6,10,8,13,5,5,5,8,8
Countdown Mt Roskill,6,9,6,7,10,11,8,5,8,6,8,7,5,7,8,10,9,11,9,10
