Store,Weekday,Saturday
Countdown Airport,8,5
Countdown Auckland City,9,4
Countdown Aviemore Drive,8,4
Countdown Birkenhead,8,5
Countdown Blockhouse Bay,8,3
Countdown Botany Downs,9,4
Countdown Browns Bay,9,5
Countdown Glenfield,8,5
Countdown Greenlane,9,4
Countdown Grey Lynn,9,3
Countdown Grey Lynn Central,9,6
Countdown Hauraki Corner,8,5
Countdown Henderson,8,5
Countdown Highland Park,8,3
Countdown Hobsonville,9,6
Countdown Howick,9,4
Countdown Kelston,9,4
Countdown Lincoln Road,9,5
Countdown Lynfield,9,4
Countdown Lynmall,7,4
Countdown Mairangi Bay,9,4
Countdown Mangere East,8,4
Countdown Mangere Mall,8,4
Countdown Manukau,8,6
Countdown Manukau Mall,9,4
Countdown Manurewa,9,4
Countdown Meadowbank,8,5
Countdown Meadowlands,9,3
Countdown Metro Albert Street,5,0
Countdown Metro Halsey Street,4,0
Countdown Milford,9,4
Countdown Mt Eden,8,5
Countdown Mt Roskill,8,5
Countdown Mt Wellington,9,4
Countdown Newmarket,8,4
Countdown Northcote,8,5
Countdown Northwest,8,4
Countdown Onehunga,8,4
Countdown Pakuranga,8,4
Countdown Papakura,8,5
Countdown Papatoetoe,9,3
Countdown Ponsonby,9,4
Countdown Pt Chevalier,9,5
Countdown Roselands,9,5
Countdown St Johns,8,4
Countdown St Lukes,8,3
Countdown Sunnynook,9,4
Countdown Sylvia Park,9,4
Countdown Takanini,8,5
Countdown Takapuna,8,3
Countdown Te Atatu,8,4
Countdown Te Atatu South,8,4
Countdown Three Kings,10,4
Countdown Victoria Street West,10,4
Countdown Westgate,9,6
FreshChoice Glen Eden,5,0
FreshChoice Half Moon Bay,5,0
FreshChoice Mangere Bridge,5,0
FreshChoice Otahuhu,4,0
FreshChoice Ranui,5,0
SuperValue Avondale,5,0
SuperValue Flatbush,5,0
SuperValue Palomino,5,0
SuperValue Papakura,5,0
SuperValue Titirangi,5,0
