Store,Max Demand
Countdown Airport,11
Countdown Auckland City,13
Countdown Aviemore Drive,14
Countdown Birkenhead,12
Countdown Blockhouse Bay,10
Countdown Botany Downs,11
Countdown Browns Bay,14
Countdown Glenfield,11
Countdown Greenlane,13
Countdown Grey Lynn,13
Countdown Grey Lynn Central,13
Countdown Hauraki Corner,13
Countdown Henderson,12
Countdown Highland Park,12
Countdown Hobsonville,12
Countdown Howick,15
Countdown Kelston,15
Countdown Lincoln Road,14
Countdown Lynfield,12
Countdown Lynmall,9
Countdown Mairangi Bay,15
Countdown Mangere East,12
Countdown Mangere Mall,13
Countdown Manukau,11
Countdown Manukau Mall,12
Countdown Manurewa,12
Countdown Meadowbank,12
Countdown Meadowlands,12
Countdown Metro Albert Street,7
Countdown Metro Halsey Street,9
Countdown Milford,12
Countdown Mt Eden,13
Countdown Mt Roskill,11
Countdown Mt Wellington,13
Countdown Newmarket,12
Countdown Northcote,11
Countdown Northwest,11
Countdown Onehunga,12
Countdown Pakuranga,11
Countdown Papakura,13
Countdown Papatoetoe,13
Countdown Ponsonby,13
Countdown Pt Chevalier,14
Countdown Roselands,13
Countdown St Johns,10
Countdown St Lukes,13
Countdown Sunnynook,12
Countdown Sylvia Park,15
Countdown Takanini,15
Countdown Takapuna,13
Countdown Te Atatu,12
Countdown Te Atatu South,12
Countdown Three Kings,14
Countdown Victoria Street West,15
Countdown Westgate,13
FreshChoice Glen Eden,8
FreshChoice Half Moon Bay,8
FreshChoice Mangere Bridge,8
FreshChoice Otahuhu,5
FreshChoice Ranui,8
SuperValue Avondale,8
SuperValue Flatbush,7
SuperValue Palomino,7
SuperValue Papakura,7
SuperValue Titirangi,7
